exercise_id,accessory_id
55,1
55,2
55,4
55,5
55,6
50,1
50,2
50,4
50,5
50,6
51,1
51,2
51,4
51,5
51,6
52,6
54,1
54,2
54,4
54,6
35,1
35,2
35,6
47,2
47,6
48,2
48,4
48,6
49,2
49,4
49,6
36,1
36,2
36,6
37,2
37,4
37,6
34,2
34,6
2,1
2,2
2,4
2,6
3,1
3,2
3,4
3,6
4,1
4,2
4,4
4,6
5,1
5,2
5,4
5,6
6,2
6,4
6,5
6,6
7,1
7,2
7,6
9,1
9,2
9,4
9,6
8,2
8,4
8,6
1,1
1,2
1,4
1,6
11,1
11,2
11,4
11,6
12,6
14,1
14,2
14,6
15,1
15,2
15,4
15,6
16,1
16,2
16,5
16,6
18,1
18,2
18,6
19,1
19,2
19,6
13,2
13,4
13,6
22,2
22,4
22,6
23,2
23,4
23,6
24,2
24,4
24,6
25,1
25,2
25,6
38,1
38,2
38,6
46,5
46,6
39,1
39,2
39,3
39,5
39,6
40,3
40,4
40,6
41,5
41,6
42,1
42,2
42,6
43,3
43,4
43,6
44,3
44,6
45,3
45,4
45,6
17,3
17,4
17,6
27,2
27,4
27,6
30,1
30,2
30,4
30,6
28,2
28,4
28,6
33,6
31,6
26,3
26,6
32,6
29,4
29,6
69,1
69,2
69,4
69,6
63,2
63,6
68,6
67,5
67,6
64,6
62,6
60,6
61,6
57,2
57,4
57,6
58,2
58,6
56,6
65,1
65,2
65,4
65,6
59,2
59,6
66,6
