exercise_id,workout_id,workout,Exercise
17,1,Beginner Whole Body Workout #1,Resisted Kicks
52,1,Beginner Whole Body Workout #1,Push Up Press
3,1,Beginner Whole Body Workout #1,Seated Band Rows
20,1,Beginner Whole Body Workout #1,Lateral Raises
9,1,Beginner Whole Body Workout #1,tricep Pushdown
35,1,Beginner Whole Body Workout #1,bandbell Curls
68,1,Beginner Whole Body Workout #1,Crunch
57,1,Beginner Whole Body Workout #1,Twist
28,1,Beginner Whole Body Workout #1,loose Arm-ony
39,2,Beginner Whole Body Workout #2,Leg Press
55,2,Beginner Whole Body Workout #2,Flat Bench Press
2,2,Beginner Whole Body Workout #2,lat-Band Pullown
19,2,Beginner Whole Body Workout #2,Front Raises
8,2,Beginner Whole Body Workout #2,Kickbacks
48,2,Beginner Whole Body Workout #2,alternate Bandbell Curls
59,2,Beginner Whole Body Workout #2,Side Bend
67,2,Beginner Whole Body Workout #2,Bicycle
27,2,Beginner Whole Body Workout #2,Back Lubricator
46,3,Intermediate Whole Body Workout #1,Lunges
55,3,Intermediate Whole Body Workout #1,Flat Bench Press
4,3,Intermediate Whole Body Workout #1,Bent Over Band-Rows
23,3,Intermediate Whole Body Workout #1,Skiers
1,3,Intermediate Whole Body Workout #1,Horizontal Extensions
36,3,Intermediate Whole Body Workout #1,Reverse Curls
69,3,Intermediate Whole Body Workout #1,Squeeze
56,3,Intermediate Whole Body Workout #1,Superman
30,3,Intermediate Whole Body Workout #1,relaxalator
38,4,Intermediate Whole Body Workout #2,Squats
53,4,Intermediate Whole Body Workout #2,flyes
2,4,Intermediate Whole Body Workout #2,lat-Band Pullown
21,4,Intermediate Whole Body Workout #2,Upright Rows
8,4,Intermediate Whole Body Workout #2,Kickbacks
37,4,Intermediate Whole Body Workout #2,cableband Curls
64,4,Intermediate Whole Body Workout #2,Roll
61,4,Intermediate Whole Body Workout #2,obliquatory
26,4,Intermediate Whole Body Workout #2,Leg Liberator
38,5,Advanced Whole Body Workout #1,Squats
50,5,Advanced Whole Body Workout #1,Incline Bench Press
5,5,Advanced Whole Body Workout #1,straight Arm Pulldowns
22,5,Advanced Whole Body Workout #1,cableband laterals
9,5,Advanced Whole Body Workout #1,tricep Pushdown
35,5,Advanced Whole Body Workout #1,bandbell Curls
58,5,Advanced Whole Body Workout #1,Woodchopper
58,5,Advanced Whole Body Workout #1,Woodchopper
27,5,Advanced Whole Body Workout #1,Back Lubricator
42,6,Advanced Whole Body Workout #2,straight leg Deadlift
51,6,Advanced Whole Body Workout #2,Decline Bench Press
2,6,Advanced Whole Body Workout #2,Lat-Band Pullown
18,6,Advanced Whole Body Workout #2,Military Press
14,6,Advanced Whole Body Workout #2,Vertical Extensions
34,6,Advanced Whole Body Workout #2,crossband Lateral Curls
62,6,Advanced Whole Body Workout #2,Plank
60,6,Advanced Whole Body Workout #2,Side Bridge
28,6,Advanced Whole Body Workout #2,loose Arm-ony
2,7,Back and Triceps Routine #1,Lat-Band Pullown
8,7,Back and Triceps Routine #1,Kickbacks
3,7,Back and Triceps Routine #1,Seated Band Rows
1,7,Back and Triceps Routine #1,Horizontal Extensions
5,7,Back and Triceps Routine #1,straight Arm Pulldowns
9,7,Back and Triceps Routine #1,tricep Pushdown
7,7,Back and Triceps Routine #1,deadlift
64,7,Back and Triceps Routine #1,the roll
27,7,Back and Triceps Routine #1,lower back lubricator
